timestamp,label,host,count,awdl,min,avg,max,stddev,p50,p95,p99,loss_pct,background_mbit,channel,rssi,noise,verdict
2026-09-16T17:33:52Z,до установки сторожа: awdl0 down,192.168.1.1,100,down,1.978,2.999,4.837,0.299,2.954,3.442,4.837,0,0.72,149/80,-51,-87,норма
2026-09-16T17:41:03Z,compare: awdl0 up,192.168.1.1,100,up,2.246,2.940,4.743,0.295,2.907,3.404,4.743,0,0.47,149/80,-50,-87,норма
2026-09-16T17:41:49Z,compare: awdl0 down,192.168.1.1,100,down,2.455,2.999,6.737,0.509,2.878,3.631,6.737,0,5.18,149/80,-52,-87,норма с фоном
2026-09-16T17:46:29Z,AWDL активен: discovery с iPhone,192.168.1.1,100,up,2.376,10.930,93.640,20.680,3.024,69.226,93.640,0,1.49,149/80,-54,-88,не проходит
2026-09-16T18:02:52Z,before-speed-tests,192.168.1.1,100,down,2.407,3.096,5.381,0.428,2.993,4.005,5.381,0,0.47,149/80,-52,-87,норма
2026-09-23T09:24:28Z,жалоба: медленный wi-fi; телефон быстрый,192.168.1.1,100,down,2.649,83.302,285.501,78.000,60.636,215.942,285.501,0,3.00,149/80,-53,-86,не проходит
2026-09-23T09:26:10Z,жалоба: повтор на тихом фоне,192.168.1.1,100,down,2.495,78.595,274.391,77.079,59.411,209.110,274.391,0,1.94,149/80,-53,-86,не проходит
2026-09-23T09:33:56Z,после переподключения Wi-Fi,192.168.1.1,100,up,1.998,13.365,178.830,30.125,3.052,87.532,178.830,0,0.22,149/80,-53,-86,не проходит
2026-09-23T09:34:32Z,после переподключения; awdl0 погашен,192.168.1.1,100,down,1.967,3.093,9.525,0.793,3.002,3.397,9.525,0,0.12,149/80,-52,-86,норма
2026-09-23T09:46:18Z,после отключения 802.11r и привязки к 5 ГГц,192.168.1.1,100,down,2.375,2.992,6.793,0.572,2.868,4.087,6.793,0,5.79,149/80,-53,-85,норма с фоном
2026-09-23T09:58:33Z,проверка measure после выноса статистики в lib,192.168.1.1,100,down,1.685,2.748,3.979,0.388,2.755,3.452,3.979,0,14.49,149/80,-56,-85,недействителен
2026-09-24T19:19:59Z,UC связан с MacBook; окно Sheptun,192.168.1.1,100,up,1.769,176.759,428.300,139.903,167.762,415.042,428.300,0,3.11,149/80,-57,-87,не проходит
